value,timestamp
+0.03347396,2018-01-25 23:35
+0.02311997,2018-01-25 23:46
+5.0,2018-01-25 23:52
+0.02960036,2018-01-25 23:53
+0.04391702,2018-01-26 00:03
+0.02630168,2018-01-26 00:11
+0.03047744,2018-01-26 00:22
+0.02947274,2018-01-26 00:27
+0.01863467,2018-01-26 00:34
+0.02566241,2018-01-26 00:41
+0.0329915,2018-01-26 00:50
+0.02460874,2018-01-26 00:53
+0.05556835,2018-01-26 00:56
+0.0153094,2018-01-26 00:58
+0.03148562,2018-01-26 01:15
+0.03024655,2018-01-26 01:32
+0.04679972,2018-01-26 01:36
+0.03301572,2018-01-26 01:37
+0.03001848,2018-01-26 01:55
+0.03196936,2018-01-26 01:57
+0.04009784,2018-01-26 02:12
+0.03319754,2018-01-26 02:18
+0.02116781,2018-01-26 02:25
+0.04325712,2018-01-26 02:26
+0.03149837,2018-01-26 02:32
+0.03369494,2018-01-26 02:39
+0.03066878,2018-01-26 02:40
+0.02993994,2018-01-26 03:08
+0.02956449,2018-01-26 03:19
+0.03672985,2018-01-26 03:25
+0.0159509,2018-01-26 03:31
+0.03325066,2018-01-26 04:00
+0.03362165,2018-01-26 04:08
+0.05250215,2018-01-26 04:10
+0.02152838,2018-01-26 04:11
+0.05917136,2018-01-26 04:14
+0.03337116,2018-01-26 04:22
+0.01788943,2018-01-26 04:24
+0.03381094,2018-01-26 04:31
+0.03158487,2018-01-26 04:44
+0.02351671,2018-01-26 04:46
+0.02633473,2018-01-26 04:52
+0.02380336,2018-01-26 04:58
+0.02915249,2018-01-26 05:12
+0.04664908,2018-01-26 05:20
+0.02642405,2018-01-26 05:42
+0.02981303,2018-01-26 05:45
+0.0302009,2018-01-26 05:58
+0.03876573,2018-01-26 06:03
+0.0401547,2018-01-26 06:09
+0.03066446,2018-01-26 06:23
+0.0187342,2018-01-26 06:26
+0.03220026,2018-01-26 06:27
+0.08255921,2018-01-26 06:29
+0.02978855,2018-01-26 06:43
+0.02391647,2018-01-26 06:47
+0.02982633,2018-01-26 06:57
+0.0870784,2018-01-26 07:14
+0.04290939,2018-01-26 07:17
+0.02352855,2018-01-26 07:23
+0.02673706,2018-01-26 07:38
+0.03041732,2018-01-26 07:52
+0.02658572,2018-01-26 08:15
+0.03104677,2018-01-26 08:21
+0.03637275,2018-01-26 08:29
+0.03318473,2018-01-26 08:33
+0.06631021,2018-01-26 08:46
+0.05626071,2018-01-26 08:52
+0.06949028,2018-01-26 08:57
+0.06408453,2018-01-26 09:11
+0.03699766,2018-01-26 09:16
+0.05178355,2018-01-26 09:19
+0.02801737,2018-01-26 09:22
+0.0540382,2018-01-26 09:24
+0.06592802,2018-01-26 09:29
+0.03431457,2018-01-26 09:36
+0.03122409,2018-01-26 09:42
+0.02409621,2018-01-26 09:48
+0.02534888,2018-01-26 10:15
+0.04425953,2018-01-26 10:18
+0.03205253,2018-01-26 10:36
+0.02987773,2018-01-26 10:39
+0.03503252,2018-01-26 10:41
+0.03240563,2018-01-26 10:43
+0.03073723,2018-01-26 10:49
+0.02272983,2018-01-26 10:55
+0.02516921,2018-01-26 11:00
+0.02935398,2018-01-26 11:16
+0.02695239,2018-01-26 11:28
+0.02901627,2018-01-26 11:30
+0.02651695,2018-01-26 11:31
+0.04143188,2018-01-26 11:36
+0.0438327,2018-01-26 11:38
+0.06512971,2018-01-26 11:44
+0.01052714,2018-01-26 11:45
+0.02347339,2018-01-26 11:52
+0.02473296,2018-01-26 11:55
+0.02798554,2018-01-26 12:19
+0.02536581,2018-01-26 12:32
+0.02656325,2018-01-26 12:35
+0.03376786,2018-01-26 12:41
+0.03914172,2018-01-26 12:43
+0.0192939,2018-01-26 12:51
+0.08680753,2018-01-26 12:57
